URL,ASIN,Title,Brand,Fulfillment,Category,BSR,Subcategory,Price,Price Trend (90 days) (%),Monthly Sales,Sales Trend (90 days) (%),Monthly Revenue,Review Count,Reviews Rating,Seller,Number of Active Sellers,Last Year Sales,Sales Year Over Year (%),Size Tier,Length,Width,Height,Weight,Storage Fee (Jan - Sep),Storage Fee (Oct - Dec),Best Sales Period,Age (Month),Number of Images,Variation Count,Sales to Reviews,profit_margin,Reviews,Solving need,Recurring,price_range,Competition,packaging_size,Seasonal,customer_pricing,Cross Selling,Fragile,Inventory time
https://amazon.in/dp/B088PQTMBK,B088PQTMBK,"Maate Baby Body Wash (250 ml) | With Ayurvedic Herbs Beetroot, Manjistha & Neem extracts | Body Wash for Dry & Sensitive Skin | Natural & Vegan | Tear-free & pH Balanced | Soap Free | Body Wash",MAATE,FBA,Baby,1651,Body Washes,520.0,-15.0,111,5.0,62715.0,243,4.2,maate,2,1306.0,87.0,Standard Size,2.6,2.64,7.01,0.77,,,01/01/2024,49,8,6,0.46,565.0,241.30434782608694,True,False,>500,Low,Small,False,Flexible,True,False,Less
https://amazon.in/dp/B089T7JC8F,B089T7JC8F,"Laerdal Silicone Feeding Cup, Transparent",Laerdal,FBM,Baby,1193,Sippy Cups,495.0,3.0,119,25.0,58905.0,171,4.0,True Healthcare Services,4,536.0,3250.0,Standard Size,3.94,3.94,3.94,0.22,,,06/01/2024,48,2,0,0.7,495.0,170.0,True,True,>500,Low,Small,False,Flexible,True,False,Less
https://amazon.in/dp/B093VY81S2,B093VY81S2,Shopoflux® Swing for Kids | Baby Swing hanging Indoor Outdoor | Kids Swing | Jhula for Baby | Baby Garden Swing | Jhula for Kids | (6 Months to 3 Years) (Up to 25 kg) (Maroon),SHOPOFLUX,FBA,Baby,636,Swings,854.0,4.0,162,-1.0,145638.0,248,4.3,Shopoflux,1,2048.0,0.0,Standard Size,3.7,12.71,13.15,2.25,,,06/01/2023,38,6,6,0.66,899.0,245.45454545454544,True,False,>500,Low,Small,False,Flexible,True,False,Less
https://amazon.in/dp/B07QWHJMTK,B07QWHJMTK,"BRANDONN New Born Baby Wrapper, Blanket, Soft Towel for Baby Boys and Baby Girls, Fleece, Pink",BRANDONN,FBA,Baby,679,Blankets,349.0,-7.0,170,-3.0,46580.0,274,4.2,Brandonn,1,2192.0,68.0,Standard Size,2.68,9.49,11.65,0.44,,,09/01/2023,63,3,19,0.63,274.0,269.8412698412698,True,False,>500,Low,Small,False,Flexible,True,False,Less
https://amazon.in/dp/B09X77Q9FS,B09X77Q9FS,"BRANDONN New Born Baby Blankets All Season Fluffy 2 Layered AC Wrapping Sheet Flannel and Sherpa Blanket for Baby Boys and Baby Girls, Toddlers 130 cm x 105 cm, (3-24 Months)(Lightweight)",BRANDONN,FBA,Baby,442,Blankets,580.0,-3.0,221,67.0,135031.0,166,4.4,Brandonn,1,2569.0,-4.0,Standard Size,5.94,8.98,11.18,1.17,,,11/01/2023,28,5,12,1.33,611.0,166.16541353383457,True,False,>500,Low,Small,False,Flexible,True,False,Less
https://amazon.in/dp/B01N6GRN33,B01N6GRN33,"Sebamed Baby Lotion, 100ml",SebaMed,FBM,Baby,1087,Lotions,499.0,,114,127.0,56886.0,118,4.5,India xpress,5,1090.0,8.0,Standard Size,1.34,2.28,5.31,0.29,,,12/01/2023,26,7,0,0.97,499.0,117.5257731958763,True,False,>500,Low,Small,False,Flexible,True,False,Less
https://amazon.in/dp/B0B5N6TC6R,B0B5N6TC6R,"BONIRY Baby Nail Trimmer,Baby Nail Clippers Safe for Newborn Toddler Adult Toes Fingernails Care Trim Kit 6 Grinding Heads,Baby Grooming kit for Baby Care kit for New Born, (Yellow)",Boniry,FBA,Baby,1119,Nail Care,310.0,2.0,108,-12.0,33480.0,467,3.6,Boniry Store,1,1768.0,,Standard Size,1.34,2.83,3.86,0.13,,,11/01/2022,25,9,11,0.23,310.0,469.5652173913043,True,False,>500,Low,Small,False,Flexible,True,False,Less
https://amazon.in/dp/B0B7XHLM4M,B0B7XHLM4M,"Maate Baby Shampoo (400 ml) | Deep Cleanses, Nourishes Scalp & Hair | With Ayurvedic Herbs like Shikakai & Amla | Baby Shampoo For Kids 0-12 Years | Baby Hair Shampoo | Tear Free & Chemical Free",MAATE,FBA,Baby,1659,Baby Shampoos,749.0,-12.0,120,41.0,95880.0,415,4.2,maate,5,1184.0,,Standard Size,3.03,3.07,8.39,1.1,,,07/01/2024,24,8,5,0.29,799.0,413.7931034482759,True,False,>500,Low,Small,False,Flexible,True,False,Less
https://amazon.in/dp/B09MK72BX6,B09MK72BX6,Softsens Baby Gentle Cloth Wipes for Baby Skin Enriched with Aloe Vera & Vitamin E I Dermatologically Tested & Parben Free with Lid - 72 wipes (Pack of 5),Softsens,FBA,Baby,416,Wet Wipes,320.0,1.0,303,77.0,96960.0,221,4.2,Softsens,3,2444.0,38.0,Standard Size,4.33,8.82,11.18,3.97,,,07/01/2024,32,9,6,1.37,320.0,221.16788321167883,True,False,>500,Low,Small,False,Flexible,True,False,Less
https://amazon.in/dp/B09X78DGRB,B09X78DGRB,"BRANDONN New Born Baby Blankets All Season Fluffy 2 Layered AC Wrapping Sheet Flannel and Sherpa Blanket for Baby Boys and Baby Girls, Toddlers 130 cm x 105 cm, (3-24 Months) (Lightweight)",BRANDONN,FBA,Baby,453,Blankets,580.0,-4.0,220,65.0,134420.0,175,4.3,Brandonn,1,2576.0,-4.0,Standard Size,5.59,9.88,11.26,1.12,,,11/01/2023,28,5,12,1.27,611.0,173.22834645669292,True,False,>500,Low,Small,False,Flexible,True,False,Less
https://amazon.in/dp/B0B45VRBV7,B0B45VRBV7,"TERI BERI Muslin Cotton Face Towels for Newborn Baby Extra Soft Hankies Reusable Napkins for Infants Toddlers (Pack of 5, White, 200 GSM)",TERI BERI,FBA,Baby,931,Bath Towels & Wash Cloths,375.0,1.0,136,-12.0,51000.0,426,4.5,Teri Beri,1,2191.0,68.0,Standard Size,1.42,6.65,9.57,0.24,,,01/01/2024,25,6,0,0.32,375.0,425.0,True,False,>500,Low,Small,False,Flexible,True,False,Less
https://amazon.in/dp/B0B7X7KGGL,B0B7X7KGGL,"Maate Baby Body Wash (400 ml) | With Ayurvedic Herbs Beetroot, Manjistha & Neem extracts | Body Wash for Dry & Sensitive Skin | Natural & Vegan | Tear-free & pH Balanced | Soap Free | Body Wash",MAATE,FBA,Baby,1437,Body Washes,749.0,-16.0,114,12.0,79686.0,243,4.2,maate,4,1330.0,109.0,Standard Size,2.99,3.03,12.6,1.98,,,01/01/2024,24,8,6,0.47,699.0,242.55319148936172,True,True,>500,Low,Small,False,Flexible,True,False,Less
https://amazon.in/dp/B09Z2WVVF1,B09Z2WVVF1,"KRADYL KROFT Toddler Pillow with 100% Cotton Removable Cover - 20 X 15 Inches | Children Pillows | Baby Pillows Happy Zoo, Multicolored",KRADYL KROFT,FBA,Baby,1105,Back & Body Supports,699.0,11.0,105,56.0,73395.0,297,4.3,AkroBon,2,1152.0,-4.0,Standard Size,17.72,13.78,1.18,1.98,,,08/01/2023,25,7,78,0.35,699.0,300.0,True,False,>500,Low,Small,False,Flexible,True,False,Less
https://amazon.in/dp/B0BBSPCMMF,B0BBSPCMMF,"MOMITTLE Kids Safety Belt For Two Wheeler With Reflective Strips,Portable Seat Belt Children Motorcycle Harness For Motorcycle Bike,Adjustable Safety Harness For Boys Girls (2-12Years), Green",MOMITTLE,FBA,Baby,746,Safety Harnesses,669.0,,150,118.0,100350.0,112,4.3,Swasti Enterprises 22,1,906.0,,Standard Size,2.36,7.72,11.18,0.44,,,07/01/2024,23,9,19,1.34,669.0,111.94029850746269,True,False,>500,Low,Small,False,Flexible,True,False,Less
https://amazon.in/dp/B0B853TC5M,B0B853TC5M,"Little Boo Baby's Soft Cotton Diaper Changing Mat/Sleeping mats/Water Proof Bed Protector with Foam for New Born Baby 58×45 CM -0-6 Months (Pack of 4,Multicolor)",Little Boo,FBA,Baby,1256,Crib Sheets,304.0,5.0,107,1.0,35096.0,132,4.0,RK World Infocom Pvt Ltd,2,1155.0,91.0,Standard Size,3.07,10.63,12.28,0.51,,,04/01/2024,24,8,2,0.82,328.0,130.4878048780488,True,False,>500,Low,Small,False,Flexible,True,False,Less
https://amazon.in/dp/B0B4FN2WGZ,B0B4FN2WGZ,"SNOWIE SOFT® Baby Suction Plates for Baby Feeding with 4 Strong Suction Cups, Silicone Toddler Plates with Deep Divided for Kids, BFA FREE, Dish Washer & Micro-wave oven Safe",SNOWIE SOFT,FBA,Baby,1055,Plates,469.0,,134,-41.0,62846.0,186,4.2,Xspace Offer,2,2225.0,76.0,Standard Size,2.13,7.87,7.95,0.33,,,03/01/2024,24,8,5,0.72,469.0,186.11111111111111,True,False,>500,Low,Small,False,Flexible,True,False,Less
